registro_id,fila_origen,cliente_id,nombre_cliente,segmento_cliente,segmento_cliente_observado,segmento_conflictivo,segmento_metodo_resolucion,ciudad,ciudad_recuperada,ciudad_desconocida,edad,ingreso_estimado,producto,tipo_producto,saldo_producto,saldo_recuperado,saldo_desconocido,saldo_negativo,saldo_outlier_iqr,cupo_credito,fecha_vencimiento,fecha_movimiento,categoria_consumo,monto_consumo,consumo_outlier_iqr,canal,estado_producto
REG-000026,26,C001250,Cliente 1250,PyME,PyME,False,unico,Guayaquil,False,False,35,2916.91,Tarjeta de Crédito,Deuda,1244.39,False,False,False,False,7500.00,2029-08-03,2025-10-19,Food,184.94,False,POS,Activo
REG-000027,27,C000919,Cliente 0919,Joven,Joven,False,unico,Quito,False,False,46,1045.75,Tarjeta de Crédito,Deuda,872.95,False,False,False,False,2000.00,2028-07-19,2026-04-26,Entertainment,189.79,False,POS,Activo
REG-000028,28,C001262,Cliente 1262,Affluent,Affluent,False,unico,Guayaquil,False,False,42,1949.59,Crédito de Consumo,Deuda,2046.82,False,False,False,False,,2027-11-12,2025-10-22,,0.00,False,App,Activo
REG-000029,29,C001281,Cliente 1281,Premium,Premium,False,unico,Guayaquil,False,False,50,5937.85,Tarjeta de Crédito,Deuda,3745.24,False,False,False,True,11300.00,2028-06-03,2025-03-16,Health,302.17,False,POS,Activo
REG-000030,30,C000224,Cliente 0224,Joven,Joven,False,unico,Quito,False,False,29,503.52,Tarjeta de Crédito,Deuda,357.50,False,False,False,False,1000.00,2029-10-22,2026-07-09,Education,44.73,False,POS,Activo
REG-000031,31,C001849,Cliente 1849,Mass,Mass,False,unico,Loja,False,False,34,529.01,Crédito Vehicular,Deuda,18607.73,False,False,False,False,,2028-08-30,2025-10-22,,0.00,False,Branch,Activo
REG-000032,32,C002126,Cliente 2126,Affluent,Affluent,False,unico,Guayaquil,False,False,31,2710.74,Tarjeta de Crédito,Deuda,410.12,False,False,False,False,7800.00,2028-10-09,2025-09-06,Entertainment,130.28,False,Web,Activo
REG-000033,33,C002093,Cliente 2093,Affluent,Affluent,False,unico,Quito,False,False,30,1882.98,Tarjeta de Crédito,Deuda,1818.49,False,False,False,False,4400.00,2030-10-01,2026-05-06,Health,153.95,False,POS,Activo
REG-000034,34,C001045,Cliente 1045,Joven,Joven,False,unico,Guayaquil,False,False,23,1076.74,Crédito de Consumo,Deuda,4992.80,False,False,False,False,,2031-07-19,2026-04-24,,0.00,False,App,Activo
REG-000035,35,C000617,Cliente 0617,Premium,Premium,False,unico,Guayaquil,False,False,18,3236.15,Tarjeta de Crédito,Deuda,740.32,False,False,False,False,7700.00,2026-12-29,2026-08-28,Supermarket,67.38,False,POS,Activo
REG-000036,36,C000716,Cliente 0716,Mass,Mass,False,unico,Guayaquil,False,False,19,913.03,Tarjeta de Crédito,Deuda,561.02,False,False,False,False,1400.00,2027-02-05,2025-10-09,Entertainment,17.24,False,App,Activo
REG-000037,37,C000508,Cliente 0508,Affluent,Affluent,False,unico,Quito,False,False,35,1331.37,Tarjeta de Crédito,Deuda,1407.41,False,False,False,False,2000.00,2028-08-31,2025-05-25,Entertainment,79.19,False,POS,Activo
REG-000038,38,C001134,Cliente 1134,Mass,Mass,False,unico,Manta,False,False,34,1105.86,Tarjeta de Crédito,Deuda,616.48,False,False,False,False,2100.00,2027-10-17,2026-03-15,Technology,52.29,False,POS,Activo
REG-000039,39,C000786,Cliente 0786,Premium,Premium,True,moda,Quito,False,False,35,4708.36,Crédito de Consumo,Deuda,17491.21,False,False,False,False,,2032-05-05,2026-01-20,,0.00,False,Web,Activo
REG-000040,40,C002037,Cliente 2037,Mass,Mass,False,unico,Guayaquil,False,False,49,852.66,Tarjeta de Crédito,Deuda,937.87,False,False,False,False,2400.00,2030-09-18,2025-01-21,Technology,36.85,False,POS,Activo
REG-000041,41,C000312,Cliente 0312,Mass,Mass,True,moda,Quito,False,False,21,901.93,Crédito Vehicular,Deuda,26829.37,False,False,False,False,,2031-03-24,2026-01-29,,0.00,False,Branch,Activo
REG-000042,42,C000066,Cliente 0066,Mass,Mass,False,unico,Cuenca,False,False,18,1104.18,Tarjeta de Crédito,Deuda,429.30,False,False,False,False,2100.00,2030-04-23,2025-04-27,Entertainment,59.63,False,Branch,Activo
REG-000043,43,C000488,Cliente 0488,Joven,Joven,False,unico,Manta,False,False,47,648.72,Tarjeta de Crédito,Deuda,738.49,False,False,False,False,1800.00,2027-11-08,2026-01-31,Food,67.58,False,Web,Activo
REG-000044,44,C000726,Cliente 0726,Mass,Mass,False,unico,Ambato,False,False,33,497.70,Tarjeta de Crédito,Deuda,348.83,False,False,False,False,1100.00,2030-05-06,2025-10-15,Travel,41.86,False,POS,Activo
REG-000045,45,C000538,Cliente 0538,Mass,Mass,False,unico,Guayaquil,False,False,44,773.91,Cuenta de Ahorros,Depósito,3396.15,False,False,False,False,,,2026-07-05,,0.00,False,Branch,Activo
REG-000046,46,C000100,Cliente 0100,Mass,Mass,False,unico,Cuenca,False,False,46,870.10,Tarjeta de Crédito,Deuda,473.40,False,False,False,False,2000.00,2029-10-22,2025-09-10,Streaming,38.74,False,Branch,Activo
REG-000047,47,C001889,Cliente 1889,Mass,Mass,False,unico,Quito,False,False,23,1637.06,Cuenta Corriente,Depósito,229.56,False,False,False,False,,,2026-01-21,,0.00,False,Web,Activo
REG-000048,48,C001649,Cliente 1649,PyME,PyME,False,unico,Quito,False,False,35,2370.33,Tarjeta de Crédito,Deuda,3145.42,False,False,False,False,5800.00,2027-08-27,2026-03-21,Entertainment,52.86,False,POS,Activo
REG-000049,49,C000012,Cliente 0012,Mass,Mass,False,unico,Cuenca,False,False,33,929.56,Tarjeta de Crédito,Deuda,808.79,False,False,False,False,1400.00,2028-02-12,2026-06-22,Technology,30.01,False,Web,Activo
REG-000050,50,C001170,Cliente 1170,Affluent,Affluent,False,unico,Loja,False,False,46,1729.21,Cuenta de Ahorros,Depósito,5115.30,False,False,False,False,,,2026-08-01,,0.00,False,Web,Activo
REG-000051,51,C001598,Cliente 1598,Premium,Premium,False,unico,Guayaquil,False,False,45,3764.87,Tarjeta de Crédito,Deuda,3984.07,False,False,False,True,9000.00,2029-06-15,2026-04-02,Entertainment,243.77,False,App,Activo
REG-000052,52,C001808,Cliente 1808,Premium,Premium,True,moda,Quito,False,False,18,3833.19,Tarjeta de Crédito,Deuda,1375.77,False,False,False,False,4400.00,2029-12-07,2025-03-13,Streaming,326.71,True,POS,Activo
REG-000053,53,C001122,Cliente 1122,Affluent,Affluent,False,unico,Quito,False,False,21,2472.84,Tarjeta de Crédito,Deuda,2321.09,False,False,False,False,6500.00,2027-04-01,2025-07-07,Food,120.15,False,Web,Activo
REG-000054,54,C002049,Cliente 2049,Affluent,Affluent,True,moda,Quito,False,False,28,1812.53,Crédito Hipotecario,Deuda,89658.32,False,False,False,False,,2031-01-19,2025-05-10,,0.00,False,Branch,Activo
REG-000055,55,C000957,Cliente 0957,Joven,Joven,False,unico,Quito,False,False,67,892.29,Tarjeta de Crédito,Deuda,279.62,False,False,False,False,1700.00,2026-09-19,2025-09-28,Health,265.34,False,POS,Activo
REG-000056,56,C001410,Cliente 1410,Affluent,Affluent,False,unico,Quito,False,False,43,4201.04,Tarjeta de Crédito,Deuda,3358.77,False,False,False,True,8500.00,2027-11-06,2025-03-30,Supermarket,46.58,False,POS,Activo
REG-000057,57,C000600,Cliente 0600,Joven,Joven,False,unico,Guayaquil,False,False,28,350.00,Tarjeta de Crédito,Deuda,344.01,False,False,False,False,700.00,2026-09-24,2025-01-09,Travel,11.77,False,POS,Activo
REG-000058,58,C001905,Cliente 1905,Affluent,Affluent,False,unico,Guayaquil,False,False,37,2954.87,Tarjeta de Crédito,Deuda,892.45,False,False,False,False,6200.00,2029-05-08,2025-01-04,Food,518.98,True,POS,Activo
REG-000059,59,C002010,Cliente 2010,Premium,Premium,False,unico,Ambato,False,False,35,4058.22,Cuenta Corriente,Depósito,6441.10,False,False,False,False,,,2026-04-03,,0.00,False,Web,Activo
REG-000060,60,C002157,Cliente 2157,Affluent,Affluent,False,unico,Quito,False,False,22,2194.82,Tarjeta de Crédito,Deuda,1622.18,False,False,False,False,5800.00,2028-04-17,2026-05-25,Fuel,615.80,True,Web,Activo
REG-000061,61,C000542,Cliente 0542,Mass,Mass,False,unico,Cuenca,False,False,43,1125.96,Crédito Hipotecario,Deuda,59041.77,False,False,False,False,,2028-05-03,2025-12-04,,0.00,False,Web,Activo
REG-000062,62,C000348,Cliente 0348,Affluent,Affluent,False,unico,Guayaquil,False,False,43,4111.28,Tarjeta de Crédito,Deuda,1939.99,False,False,False,False,6700.00,2029-10-22,2025-11-01,Food,255.25,False,App,Activo
REG-000063,63,C002185,Cliente 2185,Premium,Premium,False,unico,Quito,False,False,47,3532.66,Tarjeta de Crédito,Deuda,0.00,False,False,False,False,7700.00,2030-05-09,2025-01-04,Streaming,136.54,False,POS,Activo
REG-000064,64,C001003,Cliente 1003,Mass,Mass,False,unico,Quito,False,False,50,1222.30,Tarjeta de Crédito,Deuda,921.48,False,False,False,False,3500.00,2029-09-11,2026-07-10,Education,53.51,False,App,Activo
REG-000065,65,C001233,Cliente 1233,Premium,Premium,False,unico,Guayaquil,False,False,49,5660.37,Tarjeta de Crédito,Deuda,11158.01,False,False,False,True,16100.00,2028-04-07,2026-01-15,Health,874.17,True,Web,Activo
REG-000066,66,C000273,Cliente 0273,Mass,Mass,False,unico,Loja,False,False,37,947.93,Tarjeta de Crédito,Deuda,203.08,False,False,False,False,2200.00,2030-02-26,2026-07-14,Others,103.12,False,App,Activo
REG-000067,67,C001024,Cliente 1024,Joven,Joven,False,unico,Quito,False,False,23,593.97,Tarjeta de Crédito,Deuda,289.88,False,False,False,False,1000.00,2028-06-15,2025-03-20,Food,74.39,False,App,Activo
REG-000068,68,C002085,Cliente 2085,Affluent,Affluent,False,unico,Guayaquil,False,False,33,2232.71,Crédito Hipotecario,Deuda,77732.04,False,False,False,False,,2029-09-13,2025-08-08,,0.00,False,Branch,Activo
REG-000069,69,C000198,Cliente 0198,Mass,Mass,False,unico,Guayaquil,False,False,52,1269.30,Crédito Vehicular,Deuda,24267.54,False,False,False,False,,2027-03-11,2026-07-08,,0.00,False,Web,Activo
REG-000070,70,C000586,Cliente 0586,Premium,Premium,False,unico,Quito,False,False,42,3325.94,Tarjeta de Crédito,Deuda,0.00,False,False,False,False,8400.00,2029-03-29,2025-05-17,Travel,174.64,False,POS,Activo
REG-000071,71,C001414,Cliente 1414,Premium,Premium,False,unico,Guayaquil,False,False,54,3373.15,Tarjeta de Crédito,Deuda,5402.58,False,False,False,True,8900.00,2028-08-30,2025-12-12,Supermarket,34.14,False,App,Activo
REG-000072,72,C001532,Cliente 1532,Joven,Joven,False,unico,Guayaquil,False,False,28,998.28,Tarjeta de Crédito,Deuda,363.65,False,False,False,False,2700.00,2026-11-05,2025-12-26,Food,16.98,False,Branch,Activo
REG-000073,73,C000510,Cliente 0510,Mass,Mass,False,unico,Quito,False,False,29,880.46,Tarjeta de Crédito,Deuda,1456.45,False,False,False,False,2600.00,2026-10-30,2025-11-01,Others,42.40,False,POS,Activo
REG-000074,74,C000744,Cliente 0744,Mass,Mass,False,unico,Guayaquil,False,False,18,807.72,Tarjeta de Crédito,Deuda,663.07,False,False,False,False,1300.00,2027-07-31,2025-04-20,Entertainment,41.70,False,POS,Activo
REG-000075,75,C000074,Cliente 0074,Mass,Mass,False,unico,Ambato,False,False,49,1221.20,Tarjeta de Crédito,Deuda,109.91,False,False,False,False,1500.00,2027-10-04,2026-05-26,Entertainment,39.01,False,Web,Activo
REG-000076,76,C000484,Cliente 0484,Premium,Premium,True,moda,Guayaquil,False,False,39,7416.87,Tarjeta de Crédito,Deuda,2392.47,False,False,False,False,11600.00,2027-09-06,2025-10-27,Supermarket,2049.23,True,POS,Activo
REG-000077,77,C002107,Cliente 2107,Mass,Mass,False,unico,Guayaquil,False,False,41,803.69,Tarjeta de Crédito,Deuda,1129.59,False,False,False,False,1600.00,2028-02-27,2026-04-24,Streaming,23.96,False,POS,Activo
REG-000078,78,C001420,Cliente 1420,Mass,Mass,False,unico,Manta,False,False,33,923.03,Tarjeta de Crédito,Deuda,387.47,False,False,False,False,2400.00,2026-10-22,2026-05-12,Health,69.30,False,Web,Activo
REG-000079,79,C002065,Cliente 2065,Mass,Mass,False,unico,Quito,False,False,28,1069.40,Crédito Hipotecario,Deuda,94940.23,False,False,False,False,,2026-12-24,2025-09-23,,0.00,False,App,Activo
REG-000080,80,C000665,Cliente 0665,Joven,Premium,True,moda,Quito,False,False,42,533.87,Tarjeta de Crédito,Deuda,279.51,False,False,False,False,1200.00,2027-07-24,2025-11-14,Health,37.69,False,Web,Activo
REG-000081,81,C001035,Cliente 1035,Mass,Mass,False,unico,Quito,False,False,48,1002.62,Tarjeta de Crédito,Deuda,1128.09,False,False,False,False,2200.00,2029-07-10,2026-03-11,Travel,53.20,False,App,Activo
REG-000082,82,C000992,Cliente 0992,Affluent,Affluent,False,unico,Guayaquil,False,False,37,2331.23,Tarjeta de Crédito,Deuda,2096.57,False,False,False,False,4100.00,2028-11-23,2025-04-14,Health,65.25,False,POS,Activo
REG-000083,83,C001012,Cliente 1012,PyME,PyME,False,unico,Guayaquil,False,False,36,5911.60,Tarjeta de Crédito,Deuda,0.00,False,False,False,False,6300.00,2030-04-16,2025-11-27,Travel,402.07,True,POS,Activo
REG-000084,84,C001286,Cliente 1286,Premium,Premium,False,unico,Guayaquil,False,False,42,7075.74,Tarjeta de Crédito,Deuda,0.00,False,False,False,False,16400.00,2027-09-29,2025-01-27,Fuel,103.41,False,POS,Activo
REG-000085,85,C001830,Cliente 1830,Mass,Mass,False,unico,Quito,False,False,29,1387.32,Tarjeta de Crédito,Deuda,581.79,False,False,False,False,4100.00,2027-10-08,2025-03-01,Fuel,126.93,False,POS,Activo
REG-000086,86,C001156,Cliente 1156,Affluent,Affluent,False,unico,Cuenca,False,False,22,2024.98,Cuenta de Ahorros,Depósito,10550.82,False,False,False,False,,,2025-03-10,,0.00,False,Web,Activo
REG-000087,87,C000081,Cliente 0081,Mass,Mass,False,unico,Guayaquil,True,False,24,956.20,Crédito Hipotecario,Deuda,93280.67,False,False,False,False,,2030-05-17,2026-07-18,,0.00,False,Branch,Activo
REG-000088,88,C001551,Cliente 1551,Joven,Joven,False,unico,Quito,False,False,25,780.41,Tarjeta de Crédito,Deuda,1028.84,False,False,False,False,2200.00,2028-07-20,2025-10-27,Technology,30.31,False,App,Activo
REG-000089,89,C000431,Cliente 0431,Mass,Mass,False,unico,Guayaquil,False,False,46,943.23,Tarjeta de Crédito,Deuda,1312.74,False,False,False,False,2800.00,2030-04-01,2025-05-06,Food,15.35,False,Branch,Activo
REG-000090,90,C001311,Cliente 1311,Joven,Joven,False,unico,Ambato,False,False,27,459.76,Cuenta Corriente,Depósito,2166.81,False,False,False,False,,,2025-02-05,,0.00,False,Web,Activo
REG-000091,91,C000793,Cliente 0793,Mass,Mass,True,moda,Quito,False,False,48,986.32,Tarjeta de Crédito,Deuda,674.77,False,False,False,False,2300.00,2030-08-14,2025-11-17,Health,49.73,False,Web,Activo
REG-000092,92,C000754,Cliente 0754,Mass,Mass,False,unico,Guayaquil,False,False,54,1515.54,Crédito de Consumo,Deuda,3283.70,False,False,False,False,,2028-01-23,2025-05-28,,0.00,False,ATM,Activo
REG-000093,93,C001570,Cliente 1570,Mass,Mass,True,moda,Manta,False,False,47,802.03,Tarjeta de Crédito,Deuda,203.22,False,False,False,False,1000.00,2029-11-21,2026-07-29,Travel,77.45,False,POS,Activo
REG-000094,94,C000008,Cliente 0008,PyME,PyME,False,unico,Ambato,False,False,44,3050.52,Cuenta Corriente,Depósito,6341.33,False,False,False,False,,,2025-08-16,,0.00,False,App,Activo
REG-000095,95,C001542,Cliente 1542,Premium,Premium,False,unico,Cuenca,False,False,53,3559.57,Tarjeta de Crédito,Deuda,4826.88,False,False,False,True,8900.00,2026-09-19,2026-03-17,Education,287.39,False,App,Activo
REG-000096,96,C002200,Cliente 2200,Premium,Premium,True,moda,Ambato,False,False,32,4968.54,Tarjeta de Crédito,Deuda,4787.44,False,False,False,True,9900.00,2028-07-05,2025-06-02,Education,103.30,False,POS,Activo
REG-000097,97,C000594,Cliente 0594,Mass,Mass,False,unico,Guayaquil,False,False,49,973.26,Tarjeta de Crédito,Deuda,284.24,False,False,False,False,2500.00,2030-07-07,2025-09-30,Travel,180.24,False,POS,Activo
REG-000098,98,C002138,Cliente 2138,Mass,Mass,False,unico,Quito,False,False,25,1093.98,Tarjeta de Crédito,Deuda,1061.19,False,False,False,False,2200.00,2029-07-10,2025-03-01,Entertainment,36.74,False,Branch,Activo
REG-000099,99,C000169,Cliente 0169,PyME,PyME,False,unico,Quito,False,False,23,4894.01,Crédito Hipotecario,Deuda,90392.84,False,False,False,False,,2028-12-29,2026-05-07,,0.00,False,Web,Activo
REG-000100,100,C000620,Cliente 0620,Premium,Premium,False,unico,Quito,False,False,48,5739.22,Tarjeta de Crédito,Deuda,4651.91,False,False,False,True,8700.00,2026-09-25,2025-09-24,Technology,930.75,True,App,Activo
REG-000101,101,C000543,Cliente 0543,Mass,Mass,False,unico,Guayaquil,False,False,36,778.05,Tarjeta de Crédito,Deuda,0.00,False,False,False,False,1200.00,2028-02-16,2025-09-22,Others,118.35,False,POS,Activo
REG-000102,102,C000612,Cliente 0612,Premium,Premium,False,unico,Manta,False,False,57,3765.71,Tarjeta de Crédito,Deuda,1417.35,False,False,False,False,5700.00,2027-11-24,2025-12-20,Travel,109.27,False,POS,Activo
REG-000103,103,C000279,Cliente 0279,Mass,Mass,False,unico,Cuenca,False,False,45,762.11,Crédito de Consumo,Deuda,4147.06,False,False,False,False,,2028-02-18,2025-08-27,,0.00,False,Web,Activo
REG-000104,104,C002154,Cliente 2154,Affluent,Affluent,False,unico,Guayaquil,False,False,29,3785.79,Tarjeta de Crédito,Deuda,256.50,False,False,False,False,7200.00,2030-01-06,2025-01-26,Travel,63.87,False,App,Activo
REG-000105,105,C000359,Cliente 0359,Mass,Mass,False,unico,Quito,False,False,43,851.19,Crédito Vehicular,Deuda,26843.00,False,False,False,False,,2026-11-28,2026-03-03,,0.00,False,Branch,Activo
REG-000106,106,C001916,Cliente 1916,Joven,Joven,False,unico,Quito,False,False,45,756.48,Tarjeta de Crédito,Deuda,170.99,False,False,False,False,1100.00,2029-06-26,2026-07-03,Food,57.59,False,Web,Activo
REG-000107,107,C001237,Cliente 1237,Mass,Mass,True,moda,Quito,False,False,39,574.32,Tarjeta de Crédito,Deuda,844.27,True,False,False,False,1600.00,2027-07-19,2025-09-06,Health,37.44,False,POS,Activo
REG-000108,108,C000634,Cliente 0634,Joven,Joven,False,unico,Guayaquil,False,False,25,1043.27,Tarjeta de Crédito,Deuda,1805.16,False,False,False,False,3000.00,2029-03-07,2025-09-06,Travel,29.84,False,App,Activo
REG-000109,109,C001966,Cliente 1966,PyME,PyME,False,unico,Guayaquil,False,False,34,3805.86,Tarjeta de Crédito,Deuda,7142.21,False,False,False,True,10300.00,2029-05-08,2025-02-20,Supermarket,934.41,True,ATM,Activo
REG-000110,110,C000440,Cliente 0440,Mass,Mass,False,unico,Cuenca,False,False,48,754.17,Cuenta Corriente,Depósito,3031.66,False,False,False,False,,,2025-05-13,,0.00,False,App,Activo
REG-000111,111,C001995,Cliente 1995,Mass,Mass,False,unico,Loja,False,False,54,749.89,Tarjeta de Crédito,Deuda,406.04,False,False,False,False,1600.00,2028-06-21,2026-06-24,Supermarket,36.18,False,POS,Activo
REG-000112,112,C001907,Cliente 1907,Joven,Joven,False,unico,Manta,False,False,32,434.63,Tarjeta de Crédito,Deuda,64.63,False,False,False,False,500.00,2028-08-01,2026-01-21,Travel,14.18,False,App,Activo
REG-000113,113,C001497,Cliente 1497,Joven,Joven,False,unico,Quito,False,False,36,481.75,Tarjeta de Crédito,Deuda,951.39,False,False,False,False,1200.00,2027-01-24,2026-05-16,Entertainment,57.78,False,Web,Activo
REG-000114,114,C000103,Cliente 0103,Premium,Premium,False,unico,Guayaquil,False,False,42,4597.87,Tarjeta de Crédito,Deuda,0.00,False,False,False,False,6400.00,2028-04-07,2026-01-14,Travel,82.73,False,Web,Activo
REG-000115,115,C000347,Cliente 0347,Mass,Mass,False,unico,Guayaquil,False,False,40,588.77,Tarjeta de Crédito,Deuda,228.83,False,False,False,False,900.00,2030-07-29,2025-02-13,Supermarket,5.85,False,Web,Activo
REG-000116,116,C000577,Cliente 0577,Affluent,Affluent,False,unico,Guayaquil,False,False,36,1925.81,Tarjeta de Crédito,Deuda,653.27,False,False,False,False,2600.00,2029-07-11,2025-07-26,Fuel,412.44,True,POS,Activo
REG-000117,117,C001829,Cliente 1829,Mass,Mass,False,unico,Manta,False,False,30,845.80,Tarjeta de Crédito,Deuda,551.48,False,False,False,False,2100.00,2029-11-23,2026-06-16,Fuel,69.07,False,Branch,Activo
REG-000118,118,C001194,Cliente 1194,Affluent,Affluent,False,unico,Quito,False,False,35,2391.27,Tarjeta de Crédito,Deuda,3678.42,False,False,False,True,6100.00,2026-09-23,2025-07-03,Health,152.28,False,App,Activo
REG-000119,119,C000774,Cliente 0774,Mass,Mass,False,unico,Cuenca,False,False,47,1060.22,Tarjeta de Crédito,Deuda,433.05,False,False,False,False,2200.00,2029-05-20,2026-02-18,Technology,66.81,False,POS,Activo
REG-000120,120,C001526,Cliente 1526,Joven,Joven,False,unico,Quito,False,False,47,547.97,Tarjeta de Crédito,Deuda,560.67,False,False,False,False,1600.00,2030-06-07,2025-07-18,Entertainment,32.51,False,App,Activo
REG-000121,121,C000776,Cliente 0776,Affluent,Affluent,True,moda,Guayaquil,False,False,32,2432.59,Cuenta de Ahorros,Depósito,12020.29,False,False,False,False,,,2026-08-03,,0.00,False,App,Activo
REG-000122,122,C000765,Cliente 0765,Affluent,Affluent,False,unico,Manta,False,False,54,1643.49,Tarjeta de Crédito,Deuda,918.68,False,False,False,False,2000.00,2028-10-12,2025-11-17,Others,212.21,False,Web,Activo
